FirstName,Gender,Popularity
Antonn,M,23
Antonny,M,3
Antony,M,14114
Antranik,M,3
Antton,M,561
Anuar,M,3
Anushka,F,17
Anwar,M,59
Any,F,118
Anya,F,619
Anys,M,15
Anyse,F,18
Anyssa,F,65
Anziza,F,3
Aodhan,M,3
Aodren,M,57
Aouatef,F,3
Aouatif,F,3
Aouicha,F,3
Aouregan,F,3
Apoline,F,49
Apollin,M,3
Apollinaire,F,6
Apollinaire,M,32
Apolline,F,14045
Apollon,M,3
Apollonie,M,4
Apollonie,F,71
Apolonie,F,3
Appolina,F,22
Appolinaire,M,287
Appolinaire,F,76
Appoline,F,572
Appollinaire,M,4
Appollonie,F,3
Appolon,M,3
Appolonie,F,158
April,F,316
Arab,M,20
Araba,F,3
Arabelle,F,3
Araceli,F,7
Aram,M,19
Aramata,F,4
Arame,F,4
Aramis,M,18
Arantxa,F,83
Aras,M,34
Arbi,M,6
Arbia,F,3
Arcade,M,360
Arcade,F,150
Arcadius,M,6
Archad,M,3
Archange,M,12
Archibald,M,209
Arda,M,816
Areski,M,57
Arezki,M,257
Argan,M,4
Argentine,F,196
Argitxu,F,86
Arham,M,3
Ari,M,155
Aria,F,1166
Arian,M,3
Ariana,F,252
Ariane,F,6560
Arianna,F,16
Arianne,F,14
Arie,M,110
Arié,M,57
Ariel,F,47
Ariel,M,771
Ariele,F,30
Ariella,F,3
Arielle,F,1632
Arif,M,18
Arife,F,3
Arige,F,3
Arij,F,162
Arije,F,18
Ariles,M,6
Arille,M,3
Arin,F,18
Arina,F,6
Aris,M,190
Arish,M,9
Arisha,F,3
Arista,F,91
Ariste,M,482
Aristide,F,52
Aristide,M,4363
Aristote,M,11
Aritz,M,19
Arizona,F,12
Arjin,F,3
Arjun,M,13
Arkaitz,M,3
Arkan,M,3
Arlene,F,3
Arlete,F,7
Arlette,F,76468
Arletty,F,10
Arlindo,M,9
Arlo,M,3
Armaan,M,7
Arman,M,102
Armance,F,435
Armand,M,60447
Armanda,F,4
Armande,F,7714
Armandine,F,3258
Armando,M,358
Armani,M,6
Armantine,F,246
Armel,F,26
Armel,M,3300
Armele,F,3
Armelle,F,22400
Armen,M,22
Armide,F,55
Armin,M,23
Arminda,F,9
Armindo,M,11
Armon,M,19
Armoni,F,5
Armonia,F,3
Armonie,F,6
Armony,F,31
Arnaldo,M,7
Arnaud,M,131915
Arnaude,F,3
Arnauld,M,730
Arnault,M,297
Arno,M,965
Arnold,M,693
Arnould,M,45
Arnoux,M,3
Arold,M,3
Aron,M,966
Arona,M,3
Arone,M,15
Aronn,M,49
Aroun,M,3
Arouna,M,9
Arouny,F,3
Arris,M,18
Arron,M,3
Arry,M,12
Arsen,M,7
Arsene,M,10515
Arsene,F,705
Arsène,M,1970
Arsenio,M,3
Arslan,M,15
Arslane,M,8
Artemis,F,9
Artémis,F,18
Artemise,F,3
Arthemise,F,112
Arthemon,M,11
Arthur,F,20
Arthur,M,114036
Arthurine,F,6
Arthus,M,470
Arto,M,12
Artur,M,110
Arturo,M,29
Artus,M,181
Arujan,M,3
Arvin,M,6
Arwa,F,218
Arwen,F,738
Arwenn,F,43
Ary,M,273
Arya,F,984
Aryam,F,6
Aryan,M,9
Arzu,F,45
Asaël,M,17
Asaf,M,3
Ascension,F,43
Aseel,F,3
